timestamp,egg_id,x1,y1,x2,y2,confidence,class,diameter_px,diameter_mm,size_category,weight_g
2026-04-13T14:13:58.938317,1,819,13,1279,720,0.6198,egg,707,707.0,Large,80
2026-04-13T14:15:01.479424,0,0,7,379,216,0.6954,egg,379,379.0,Large,80
2026-04-13T14:15:01.518666,0,0,7,379,216,0.6954,egg,379,379.0,Large,80
2026-04-13T14:15:01.549795,0,0,7,379,216,0.6954,egg,379,379.0,Large,80
2026-04-13T14:15:03.067278,1,0,1,235,216,0.7471,egg,235,235.0,Large,80
2026-04-13T14:15:03.067462,2,246,1,383,216,0.6946,egg,215,215.0,Large,80
2026-04-13T14:15:03.120995,1,0,1,235,216,0.7471,egg,235,235.0,Large,80
2026-04-13T14:15:03.121133,2,246,1,383,216,0.6946,egg,215,215.0,Large,80
2026-04-13T14:15:03.152695,1,0,1,235,216,0.7471,egg,235,235.0,Large,80
2026-04-13T14:15:03.152849,2,246,1,383,216,0.6946,egg,215,215.0,Large,80
2026-04-13T14:15:04.397731,1,0,0,248,215,0.7093,egg,248,248.0,Large,80
2026-04-13T14:15:04.397917,2,246,1,383,216,0.7107,egg,215,215.0,Large,80
2026-04-13T14:15:04.452046,1,0,0,248,215,0.7093,egg,248,248.0,Large,80
2026-04-13T14:15:04.452226,2,246,1,383,216,0.7107,egg,215,215.0,Large,80
2026-04-13T14:15:04.485527,1,0,0,248,215,0.7093,egg,248,248.0,Large,80
2026-04-13T14:15:04.485720,2,246,1,383,216,0.7107,egg,215,215.0,Large,80
2026-04-13T14:15:05.765885,1,0,0,248,214,0.7454,egg,248,248.0,Large,80
2026-04-13T14:15:05.766092,2,246,1,383,216,0.6991,egg,215,215.0,Large,80
2026-04-13T14:15:05.817100,1,0,0,248,214,0.7454,egg,248,248.0,Large,80
2026-04-13T14:15:05.817266,2,246,1,383,216,0.6991,egg,215,215.0,Large,80
2026-04-13T14:15:05.850800,1,0,0,248,214,0.7454,egg,248,248.0,Large,80
2026-04-13T14:15:05.850984,2,246,1,383,216,0.6991,egg,215,215.0,Large,80
2026-04-13T14:15:08.172106,1,1,9,233,215,0.8112,egg,232,232.0,Large,80
2026-04-13T14:15:08.172310,2,246,1,383,216,0.5947,egg,215,215.0,Large,80
2026-04-13T14:15:08.215988,1,1,9,233,215,0.8112,egg,232,232.0,Large,80
2026-04-13T14:15:08.216179,2,246,1,383,216,0.5947,egg,215,215.0,Large,80
2026-04-13T14:15:08.250778,1,1,9,233,215,0.8112,egg,232,232.0,Large,80
2026-04-13T14:15:08.250966,2,246,1,383,216,0.5947,egg,215,215.0,Large,80
2026-04-13T14:15:09.869844,0,0,9,305,216,0.8199,egg,305,305.0,Large,80
2026-04-13T14:15:09.915114,0,0,9,305,216,0.8199,egg,305,305.0,Large,80
2026-04-13T14:15:09.949672,0,0,9,305,216,0.8199,egg,305,305.0,Large,80
2026-04-13T14:15:11.687167,0,0,4,245,215,0.6932,egg,245,245.0,Large,80
2026-04-13T14:15:11.687374,2,216,1,384,216,0.4109,egg,215,215.0,Large,80
2026-04-13T14:15:11.714586,0,0,4,245,215,0.6932,egg,245,245.0,Large,80
2026-04-13T14:15:11.714734,2,216,1,384,216,0.4109,egg,215,215.0,Large,80
2026-04-13T14:15:11.749015,0,0,4,245,215,0.6932,egg,245,245.0,Large,80
2026-04-13T14:15:11.749192,2,216,1,384,216,0.4109,egg,215,215.0,Large,80
2026-04-13T14:15:12.705196,0,0,8,245,216,0.6494,egg,245,245.0,Large,80
2026-04-13T14:15:12.748077,0,0,8,245,216,0.6494,egg,245,245.0,Large,80
2026-04-13T14:15:12.781384,0,0,8,245,216,0.6494,egg,245,245.0,Large,80
2026-04-13T14:15:15.286092,0,0,8,245,216,0.6785,egg,245,245.0,Large,80
2026-04-13T14:15:15.286330,2,220,4,384,216,0.4303,egg,212,212.0,Large,80
2026-04-13T14:15:15.313691,0,0,8,245,216,0.6785,egg,245,245.0,Large,80
2026-04-13T14:15:15.313859,2,220,4,384,216,0.4303,egg,212,212.0,Large,80
2026-04-13T14:15:15.346871,0,0,8,245,216,0.6785,egg,245,245.0,Large,80
2026-04-13T14:15:15.347036,2,220,4,384,216,0.4303,egg,212,212.0,Large,80
2026-04-13T14:15:16.573086,0,0,0,235,216,0.7531,egg,235,235.0,Large,80
2026-04-13T14:15:16.573276,2,245,1,384,215,0.6334,egg,214,214.0,Large,80
2026-04-13T14:15:16.612605,0,0,0,235,216,0.7531,egg,235,235.0,Large,80
2026-04-13T14:15:16.612676,2,245,1,384,215,0.6334,egg,214,214.0,Large,80
2026-04-13T14:15:16.646338,0,0,0,235,216,0.7531,egg,235,235.0,Large,80
2026-04-13T14:15:16.646414,2,245,1,384,215,0.6334,egg,214,214.0,Large,80
2026-04-13T14:15:17.266878,0,0,0,254,216,0.5681,egg,254,254.0,Large,80
2026-04-13T14:15:17.267055,2,246,1,383,216,0.6577,egg,215,215.0,Large,80
2026-04-13T14:15:17.313918,0,0,0,254,216,0.5681,egg,254,254.0,Large,80
2026-04-13T14:15:17.314104,2,246,1,383,216,0.6577,egg,215,215.0,Large,80
2026-04-13T14:15:17.347160,0,0,0,254,216,0.5681,egg,254,254.0,Large,80
2026-04-13T14:15:17.347346,2,246,1,383,216,0.6577,egg,215,215.0,Large,80
2026-04-13T14:15:19.176251,0,0,18,228,216,0.7591,egg,228,228.0,Large,80
