                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.53646,                0.32569,                0.88651,                0.99722,                0.88525,                0.93144,                0.69215,                 1.0756,                0.67702,                 1.1423,                0.00307,                0.00307,                0.00307
                     38,                0.56353,                0.33055,                0.90588,                 0.9792,                0.88525,                 0.9433,                0.69988,                 1.0697,                0.59729,                 1.1297,               0.002872,               0.002872,               0.002872
                     39,                  0.514,                0.29671,                0.89503,                0.98028,                0.90164,                0.94698,                0.69505,                 1.0948,                0.60488,                 1.1645,               0.002674,               0.002674,               0.002674
                     40,                0.52693,                0.30436,                0.89928,                0.97881,                0.88525,                0.96452,                0.71767,                 1.0831,                0.55206,                 1.1329,               0.002476,               0.002476,               0.002476
                     41,                0.50307,                0.28285,                0.86036,                0.97732,                0.88525,                0.97254,                 0.7125,                 1.0857,                0.54114,                 1.1331,               0.002278,               0.002278,               0.002278
                     42,                0.48864,                0.27182,                0.86593,                      1,                0.88335,                0.96316,                0.70126,                 1.0683,                0.59078,                 1.1361,                0.00208,                0.00208,                0.00208
                     43,                0.45837,                0.26716,                0.84738,                 0.9988,                0.88525,                0.94625,                0.70701,                 1.0507,                0.56043,                 1.1422,               0.001882,               0.001882,               0.001882
                     44,                0.44455,                0.25329,                0.84189,                      1,                 0.9007,                  0.941,                0.70254,                 1.0375,                0.54185,                 1.1193,               0.001684,               0.001684,               0.001684
                     45,                0.44827,                0.25394,                0.85587,                0.99868,                0.88525,                0.94572,                0.71171,                 1.0316,                0.53634,                  1.116,               0.001486,               0.001486,               0.001486
                     46,                0.44057,                0.25524,                0.83664,                      1,                0.88457,                0.95022,                0.71244,                   1.03,                0.51011,                 1.1082,               0.001288,               0.001288,               0.001288
                     47,                0.43934,                0.24751,                0.84654,                 0.9972,                0.86885,                0.95587,                0.72193,                 1.0332,                0.50802,                 1.1214,                0.00109,                0.00109,                0.00109
                     48,                0.43282,                0.25264,                0.85088,                0.99775,                0.86885,                0.96201,                0.73104,                 1.0336,                0.50398,                 1.1241,               0.000892,               0.000892,               0.000892
                     49,                 0.4272,                0.23627,                0.85615,                0.99766,                0.86885,                0.96336,                0.72485,                 1.0391,                0.50018,                 1.1287,               0.000694,               0.000694,               0.000694
                     50,                0.42731,                 0.2446,                0.84217,                0.96487,                0.90051,                0.96576,                0.73047,                 1.0416,                0.49963,                 1.1282,               0.000496,               0.000496,               0.000496
